"Aikaleima","Miten ryhmänne ensimmäinen kysely onnistui?","Mikä oli mielestäsi onnistunutta muiden kyselylomakkeissa, joihin vastasit?","Millaisiin kysymyksiin tykkäisit vastata?","Miten kysymys-lomakkeista saataisiin mielenkiintoisia, jotta mahdollisimman moni vastaisi? ","Kuinka pitkiä palautelomakkeiden tulisi mielestäsi olla?","Mitä työkaluja ryhmänne aikoo käyttää käyttöliittymää rakentaessa?"
"2016/11/04 1:22:34 ip. UTC+2","Hyvin, saimme paljon vastauksia","Vastauksissa olevat kuvat :)","Visuaalisesti, esimerkiksi hymiöillä","Ei ainakaan vapaa sana / pakollinen vastaus kysymyksillä","6-10 kysymystä","Tietokonetta"
"2016/11/04 1:34:33 ip. UTC+2","En osaa sanoa. ","En ole vielä vastannut muiden kyselyihin. ","Monivalinta kysymykset","Tekemällä niistä lyhyitä. Comic sans aina plussaa. ","1-3 kysymystä","Emme me rakenna käyttöliittymää vaan TE. "
"2016/11/04 1:36:36 ip. UTC+2","Kohtalaisesti, saimme parannusideoita","En ole vastannut muihin.","Monivalinta kysymykset","Lyhyitä ja ytimekkäitä kysymyksiä.","3-6 kysymystä","-"
"2016/11/04 1:37:54 ip. UTC+2","Hyvin, saimme paljon vastauksia","en ole suorittanut muita kyselyitä","Monivalinta kysymykset;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","comic sans aina käytössä","Yli 10","en tiedä"
"2016/11/04 1:38:59 ip. UTC+2","Huonosti, emme saaneet informatiivista dataa","Lyhyys","Monivalinta kysymykset;Visuaalisesti, esimerkiksi hymiöillä","Paljon hauskoja kuvia ja vilkkuvia valoja","6-10 kysymystä","Emme rakenna käyttöliittymää"
"2016/11/04 1:40:53 ip. UTC+2","Mitä ihmettä?","Selkeys","Visuaalisesti, esimerkiksi hymiöillä;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","Selkeä, lyhyt, nopea","1-3 kysymystä","Emme rakenna käyttöliittymää."
"2016/11/04 1:57:04 ip. UTC+2","Huonosti, emme saaneet informatiivista dataa","Jollain ryhmällä oli hyvin monikäyttöinen kyselymalli.","Monivalinta kysymykset;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","Yksinkertaiset kysymykset helpottavat vastaamista","3-6 kysymystä","Brackets"
"2016/11/04 2:01:18 ip. UTC+2","-","En vastannut mihinkään","Monivalinta kysymykset;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","Mahdollisimman vähän vapaasti kirjoitettavia vastauksia","6-10 kysymystä","-"
"2016/11/04 2:01:57 ip. UTC+2","Backend","E","Monivalinta kysymykset;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","Yksinkertaiset kysymykset, mahdollisimman lyhyesti kysytty ja ehkäpä kuvilla korostettu.","3-6 kysymystä","JSON"
"2016/11/04 2:05:32 ip. UTC+2","Emme voi vastata","Lyhyt","Visuaalisesti, esimerkiksi hymiöillä","Lyhyet visuaaliset selkeästi ymmärrettävät","1-3 kysymystä","Emme voi vastata"
"2016/11/04 2:09:15 ip. UTC+2","-","-","Monivalinta kysymykset;Sliderilla, jossa on esimerkiksi asteikko 1 - 5","Visuaalisuus pitää olla hieno!","6-10 kysymystä","-"
"2016/11/04 2:09:23 ip. UTC+2","-","Ihan kivannäkösiä","Monivalinta kysymykset;Visuaalisesti, esimerkiksi hymiöillä","Ei hajuakaan, lisää monivalintoja?","6-10 kysymystä","öaöhöähä"
"2016/11/04 2:57:31 ip. UTC+2","Hyvin, saimme paljon vastauksia","En osaa sanoa","Visuaalisesti, esimerkiksi hymiöillä","Järkeviä, helppoja kysymyksiä","3-6 kysymystä","En kerro"
